epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2217,2.82809,3.81396,2.14448,0.00262,0.78626,0.00286,0.00075,2.67508,3.58046,2.29745,0.000659341,0.000659341,0.000659341
2,24.8661,2.46639,3.61363,1.85946,0.00131,0.17349,0.00078,0.00019,3.82482,5.37562,2.29584,0.00131288,0.00131288,0.00131288
3,36.492,2.44201,3.52947,1.86198,0.00281,0.84178,0.00581,0.00181,2.37083,3.52846,1.9086,0.00195322,0.00195322,0.00195322
4,48.0634,2.36657,3.5122,1.84468,0.00325,0.87231,0.00403,0.00149,2.45227,3.65725,2.01302,0.0019406,0.0019406,0.0019406
5,60.0077,2.3371,3.5175,1.84696,0.0028,0.839,0.00355,0.00129,2.45844,3.54947,2.1459,0.0019208,0.0019208,0.0019208
6,72.0183,2.34926,3.52068,1.85304,0.00254,0.76197,0.00474,0.0017,2.16037,3.83699,1.91219,0.001901,0.001901,0.001901
7,86.7333,2.26824,3.50222,1.80777,0.00282,0.84525,0.00531,0.00212,2.1061,3.69838,1.86541,0.0018812,0.0018812,0.0018812
8,100.705,2.28668,3.5114,1.78539,0.00272,0.81541,0.00356,0.00132,2.31253,3.72152,1.94771,0.0018614,0.0018614,0.0018614
9,112.383,2.31973,3.52816,1.83614,0.00255,0.76544,0.00265,0.00102,2.27339,3.74909,1.98802,0.0018416,0.0018416,0.0018416
10,129.685,2.27624,3.50081,1.79993,0.0025,0.74948,0.00308,0.001,2.46292,3.83047,1.96307,0.0018218,0.0018218,0.0018218
11,144.853,2.23906,3.51601,1.76665,0.00261,0.78279,0.00311,0.00123,2.38289,3.65438,1.96392,0.001802,0.001802,0.001802
12,156.526,2.2746,3.5454,1.78444,0.00238,0.71339,0.00412,0.00155,2.15986,3.77905,1.86988,0.0017822,0.0017822,0.0017822
13,171.313,2.21624,3.50199,1.74602,0.00279,0.83831,0.00607,0.00228,2.04564,3.66869,1.89393,0.0017624,0.0017624,0.0017624
14,189.863,2.21573,3.50738,1.75628,0.00277,0.83206,0.00461,0.00181,2.21117,3.64166,1.91555,0.0017426,0.0017426,0.0017426
15,202.911,2.22669,3.50714,1.76216,0.00292,0.87647,0.00531,0.00225,2.05332,3.6313,1.84765,0.0017228,0.0017228,0.0017228
16,214.183,2.17379,3.50986,1.75234,0.00279,0.2762,0.00256,0.00066,2.82171,3.7543,2.45179,0.001703,0.001703,0.001703
17,231.622,2.23928,3.49711,1.7562,0.00269,0.80708,0.0038,0.00151,2.07882,3.59464,1.90994,0.0016832,0.0016832,0.0016832
18,246.533,2.19317,3.5363,1.73074,0.00294,0.88272,0.00612,0.00206,2.38268,3.8116,1.99388,0.0016634,0.0016634,0.0016634
19,257.478,2.20726,3.4903,1.73508,0.00243,0.30049,0.00327,0.00085,2.56743,3.65464,2.29742,0.0016436,0.0016436,0.0016436
20,271.544,2.19529,3.48882,1.71638,0.00293,0.87856,0.00485,0.00198,2.06951,3.47866,1.91978,0.0016238,0.0016238,0.0016238
21,282.933,2.21217,3.49342,1.74305,0.00263,0.78973,0.0045,0.00143,2.49605,3.59445,2.03457,0.001604,0.001604,0.001604
22,292.741,2.21137,3.48402,1.72244,0.00258,0.45038,0.00324,0.00064,3.4022,3.58939,3.04993,0.0015842,0.0015842,0.0015842
23,301.402,2.22998,3.48647,1.74839,0.00261,0.78418,0.00534,0.00117,3.23589,3.36699,2.78231,0.0015644,0.0015644,0.0015644
24,310.223,2.17513,3.49737,1.72164,0.00273,0.82026,0.00696,0.00232,2.21881,3.45164,1.91525,0.0015446,0.0015446,0.0015446
25,318.641,2.16373,3.49348,1.71218,0.00323,0.09993,0.00208,0.00045,3.65139,3.83474,5.36751,0.0015248,0.0015248,0.0015248
26,327.108,2.16762,3.47555,1.71548,0.00297,0.89035,0.00548,0.00225,2.02106,3.58778,1.83541,0.001505,0.001505,0.001505
27,337.139,2.17018,3.48438,1.71269,0.00273,0.81888,0.00505,0.00185,2.39546,3.6452,2.01969,0.0014852,0.0014852,0.0014852
28,347.258,2.18061,3.48174,1.71268,0.00251,0.75226,0.00737,0.00225,2.30752,3.69747,1.97866,0.0014654,0.0014654,0.0014654
29,356.236,2.1625,3.47736,1.71579,0.00231,0.69327,0.00347,0.00117,2.34367,3.44419,1.97049,0.0014456,0.0014456,0.0014456
30,364.986,2.16133,3.4733,1.71754,0.00303,0.90909,0.00701,0.00253,2.29903,3.63386,1.98345,0.0014258,0.0014258,0.0014258
31,373.603,2.16541,3.48604,1.7082,0.00289,0.86607,0.00668,0.00252,2.01894,3.52209,1.84924,0.001406,0.001406,0.001406
32,382.374,2.17157,3.48167,1.71739,0.00282,0.84663,0.00754,0.00292,2.18644,3.70572,1.89601,0.0013862,0.0013862,0.0013862
33,391.538,2.14109,3.46008,1.68425,0.00269,0.12491,0.00201,0.00056,3.09291,3.80161,2.81351,0.0013664,0.0013664,0.0013664
34,401.597,2.14392,3.45161,1.67198,0.00284,0.8508,0.00517,0.00206,2.14704,3.49189,1.89819,0.0013466,0.0013466,0.0013466
35,410.882,2.17525,3.44194,1.70103,0.00281,0.84316,0.0068,0.00237,2.21944,3.61336,1.94401,0.0013268,0.0013268,0.0013268
